# Glossary in tab-separated format -*- coding: utf-8 -*-
InnocentlyInsensitive	Br/InocentementeInsensivel
InnocuouslyImportantEpisode	Br/EpisodioInocuamenteImportante
InsaneTrollLogic	Br/LogicaTrollInsana
InsideAComputerSystem	Br/DentroDeUmSistemaDeComputador
InspiredBy	Br/InspiradoPor
InstantIndexJustAddWater	Br/IndiceInstantaneoBastaAcrescentarAgua
InstantIndexJustAddWater	Br/IndiceInstantaneoBastaAdicionarAgua
InstantlyProvenWrong	Br/InstantaneamenteProvadoErrado
InsufferableGenius	Br/GenioInsuportavel
InsufferableImbecile	Br/ImbecilInsuportavel
Intangibility	Br/{{Intangibilidade}}
IntendedAudienceReaction	Br/ReacaoEsperadaDoPublico
IntercourseWithYou	Br/RelacoesComVoce
InternalHomage	Br/HomenagemInterna
InternalReformist	Br/ReformistaInterno
InternalRetcon	Br/RetconInterno
InternetJerk	Br/BabacaDaInternet
Interquel	Br/{{Interquencia}}
InterruptedIntimacy	Br/IntimidadeInterrompida
IntimateHealing	Br/CuraIntima
IntrepidReporter	Br/ReporterIntrepido
InvadedStatesOfAmerica	Br/EstadosInvadidosDaAmerica
InverseLawOfSharpnessAndAccuracy	Br/LeiDaInversaoEntrePrecisaoEAfiacao
InverseLawOfUtilityAndLethality	Br/LeiDaInversaoEntreUtilidadeELetalidade
InvincibleHero	Br/HeroiInvencivel
InvisibilityFlicker	Br/InvisibilidadeTremula
IronButtMonkey	Br/CorinhoCalejado
IronLady	Br/DamaDeFerro
IronWoobie	Br/CoitadinhoCalejado
IronicEcho	Br/EcoIronico
IronicEchoCut	Br/CorteDeEcoIronico
IronicHell	Br/InfernoIronico
Irony	Br/{{Ironia}}
IrrationalHatred	Br/OdioIrracional
IslandBase	Br/BaseNaIlha
IslandOfMystery	Br/IlhaDeMisterio
IsleOfGiantHorrors	Br/IlhaDeHorroresGigantes
ItBeganWithATwistOfFate	Br/ComecouComUmaReviravoltaDoDestino
ItCameFromBeverlyHills	Br/VeioDeBeverlyHills
ItMayHelpYouOnYourQuest	Br/IssoPodeSerUtilEmSuaJornada
ItOnlyWorksOnce	Br/SoFuncionaUmaVez
ItSucksToBeTheChosenOne	Br/SerOEscolhidoEUmaDroga
ItWasHisSled	Br/EraOTrenoDele
ItWillNeverCatchOn	Br/IssoNuncaVaiPegar
ItsASmallWorldAfterAll	Br/RealmenteEUmMundoPequeno
ItsAllAboutMe	Br/TudoGiraAoMeuRedor
ItsAllMyFault	Br/ETudoMinhaCulpa
ItsAlwaysSpring	Br/SempreEPrimavera
ItsBeenDone	Br/JaFoiFeito
ItsCuban	Br/ECubano
ItsNotSupposedToWinOscars	Br/NaoEParaGanharOOscar
ItsNotYouItsMyEnemies	Br/NaoEVoceSaoMeusInimigos
ItsQuietTooQuiet	Br/OMorroTaMuitoTranquilo
ItsTheJourneyThatCounts	Br/EAJornadaQueConta	"É a jornada que conta".
ItsTheSameNowItSucks	Br/NaoMudouNadaPorIssoEUmaDroga
JabbaTableManners	Br/EtiquetaDeJabba
JackassGenie	Br/GenioBabaca
JackassGenie	Br/GenioSacana
JadeColoredGlasses	Br/OculosCorDeJade
JapaneseSpirit	Br/EspiritoJapones
JaywalkingWillRuinYourLife	Br/AtravessarForaDaFaixaVaiArruinarSuaVida
JeanneDArchetype	Br/JoanaDArquetipo
JerkWithAHeartOfGold	Br/BabacaComUmCoracaoDeOuro
JerkWithAHeartOfJerk	Br/BabacaComUmCoracaoDeBabaca
Jerkass	Br/{{Babaca}}
JerkassDissonance	Br/DissonanciaDeBabaca
JerkassHasAPoint	Br/OBabacaTemRazao
JerkassWoobie	Br/CoitadinhoBabaca
JigsawPuzzlePlot	Br/EnredoQuebraCabeca
JigsawPuzzlePlot	Br/TramaQuebraCabeça
JokerImmunity	Br/ImunidadeDeCoringa
Jossed	Br/CaiuPorTerra
JumpPhysics	Br/FisicaDeSalto
JumpScare	Br/PuloDeSusto
JumpedAtTheCall	Br/EstavaSoPeloChamado
JumpedAtTheCall	Br/SeJogouDeCabecaNoChamado
JumpingOffTheSlipperySlope	Br/SeJogandoDaLadeiraEscorregadia
JumpingOutOfACake	Br/SaindoDeUmBolo
JumpingTheShark	Br/PularOTubarao
JungleJapes	Br/SelvaTropical
JustAsPlanned	Br/ExatamenteComoPlanejado	É uma redireção para "AllAccordingToPlan".
JustBeforeTheEnd	Br/LogoAntesDoFim
JustEatGilligan	Br/ApenasSeLivreDeGilligan
JustForFun	Br/ApenasPorLazer
JustForFun	Br/SoDeZoeira
JustForFun	Br/SoPelaDiversao
JustForFun	BrApenasPorLazer	Este deve ser usado se o "JustForFun" referenciado é um namespace.
JustForFun/IThoughtItMeant	BrApenasPorLazer/EuPenseiQueSignificava
JustForFun/NotToBeConfusedWith	BrApenasPorLazer/NaoConfundirCom
JustForFun/TVTropesAsAGatewayDrug	BrApenasPorLazer/TVTropesComoDrogaDeEntrada
JustForFun/TVTropesWillRuinYourLife	BrApenasPorLazer/TVTropesVaiArruinarASuaVida
JustForFun/TVTropesWillRuinYourVocabulary	BrApenasPorLazer/TVTropesVaiArruinarSeuVocabulario
JustForFun/TheTropelessTale	BrApenasPorLazer/OContoSemTropos
JustForFun/TheZerothLawOfTropeExamples	BrApenasPorLazer/LeiZeroDosExemplosDeTropo
JustForFun/TropeOverdosed	BrApenasPorLazer/OverdoseDeTropos
JustForFun/XMeetsY	BrApenasPorLazer/XEncontraY
JustForFun/YouKnowYouReadTooMuchTVTropesWhen	BrApenasPorLazer/VoceSabeQueEstaLendoMuitoTVTropesQuando
JustHereForGodzilla	Br/SoVimPeloGodzilla
JustLikeRobinHood	Br/QueNemRobinHood
JustLikeRobinHood	Br/TalQualRobinHood
JustOneMoreLevel	Br/SoMaisUmaFase
JustOneSecondOutOfSync	Br/ForaDeSincroniaEmUmSegundo
JusticeWillPrevail	Br/AJusticaPrevalecera
JustifiedTitle	Br/TituloJustificado
JustifiedTrope	Br/TropoJustificado
KarmaHoudini	Br/KarmaHoudini
KarmaHoudiniWarranty	Br/GarantiaDoKarmaHoudini
KarmaMeter	Br/MedidorDeCarma
KarmaMeter	Br/MedidorDeKarma
KarmicDeath	Br/MorteCarmica
KarmicDeath	Br/MorteKarmica
KarmicRape	Br/EstuproKarmico
KatanasAreJustBetter	Br/KatanasSimplesmenteSaoMelhores
Kayfabe	Br/{{Kayfabe}}
KeepTheReward	Br/FiqueComARecompensa
KeepingTheHandicap	Br/MantendoADeficiencia
Kevlard	Br/BanhaKevlar
KiManipulation	Br/ManipulacaoDeKi
KickTheDog	Br/ChutarOCachorro
KickTheMoralityPet	Br/ChutarAMoralDeEstimacao
KickTheMoralityPet	Br/ChutarOMascoteMoral
KickedUpstairs	Br/ChutadoParaOAndarDeCima
KickingAssInAllHerFinery	Br/ChutandoBundasEmTodaSuaFinesse
KidDetective	Br/DetetiveMirim
KidHero	Br/HeroiGaroto
KidHeroAllGrownUp	Br/HeroiGarotoCrescido
KiddieKid	Br/JovemInfantil
KidnappedForExperimentation	Br/SequestradoParaExperimentos
KidnappedScientist	Br/CientistaSequestrado
KillItWithFire	Br/MateComFogo
KillSat	Br/SateliteDaDestruicao
KillTheGod	Br/MatarODeus
KillTheHostBody	Br/MateOHospedeiro
KilledOffForReal	Br/MortoPraValer
KilledToUpholdTheMasquerade	Br/MortoParaManterOMascaramento
KillerRobot	Br/RoboAssassino
KinderAndCleaner	Br/MaisGentilELimpo
KindheartedCatLover	Br/AmanteDeGatosComBomCoracao
KindheartedSimpleton	Br/EstupidoDeBomCoracao
KingInTheMountain	Br/ReiNaMontanha
KingOfAllCosmos	Br/ReiDeTodoOCosmos
KirksRock	Br/RochaDeKirk
KleptomaniacHero	Br/HeroiCleptomaniaco
KneeHighPerspective	Br/PerspectivaDaAlturaDoJoelho
KneelBeforeFrodo	Br/AjoelhePeranteFrodo
KneelBeforeZod	Br/AjoelhePeranteZod
KnightErrant	Br/CavaleiroErrante
KnightInShiningArmor	Br/CavaleiroEmArmaduraReluzente
KnightInShiningTropes	Br/CavaleiroEmTroposReluzentes
KnightInSourArmor	Br/CavaleiroEmArmaduraAzeda
KnightTemplar	Br/CavaleiroTemplario
KnightTemplarBigBrother	Br/IrmaozaoCavaleiroTemplario
KnightTemplarParent	Br/PaiCavaleiroTemplario
KnowNothingKnowItAll	Br/SabeTudoQueNaoSabeNada
KnownByThePostalAddress	Br/ConhecidoPeloEnderecoPostal
KudzuPlot	Br/TramaBalaioDeGato
KudzuPlot	Br/TramaEmaranhada
LaResistance	Br/AResistencia
LaResistance	Br/LaResistance
LabcoatOfScienceAndMedicine	Br/JalecoDeCienciaEMedicina
LackOfEmpathy	Br/FaltaDeEmpatia
LadyAndKnight	Br/DamaECavaleiro
LadyLand	Br/TerraDeMulheres
LadyOfAdventure	Br/DamaDeAventura
LadyOfWar	Br/DamaDeGuerra
LampshadeHanging	Br/IluminandoOTropo
LampshadeHanging	Br/LancandoLuz
LampshadeHanging	Br/LancarLuzSobreOTropo
LancerVsDragon	Br/LanceiroContraDragao
LandOfFaerie	Br/TerraDasFadas
LandfillBeyondTheStars	Br/AterroAlemDasEstrelas
LanternJawOfJustice	Br/MandibulaDaJustica
LaserGuidedAmnesia	Br/AmnesiaComMiraLaser
LaserGuidedKarma	Br/CarmaGuiadoPorLaser
LaserGuidedKarma	Br/KarmaGuiadoPorLaser
LastFertileRegion	Br/UltimaRegiaoFertil
LastNoteNightmare	Br/PesadeloDeUltimaNota
LastUnsmokedCigarette	Br/UltimoCigarroNaoFumado
LatinAmericanLiterature	Br/LiteraturaLatinoAmericana
LaughTrack	Br/FaixaDeRiso
LawEnforcementInc	Br/ForcaDaLeiLtda
LawOfDisproportionateResponse	Br/LeiDaRespostaDesproporcional
LawProcedural	Br/ProcedimentoLegal
LawfulEvil	Br/LealEMau
LawfulGood	Br/LealEBom
LawfulNeutral	Br/LealENeutro
LawfulStupid	Br/LealEEstupido
LayeredMetropolis	Br/MetropoleEstratificada
LayeredWorld	Br/MundoEmCamadas
LeaderFormsTheHead	Br/OLiderFormaACabeca
LeakingCanOfEvil	Br/GarrafaDoMalVazando
LeftHanging	Br/FicarPendurado
LegacyCharacter	Br/PersonagemLegado
LegalizedEvil	Br/MalLegalizado
LegendFadesToMyth	Br/ALendaSeTransformaEmMito
LegendaryInTheSequel	Br/LendarioNaSequencia
LegionOfLostSouls	Br/LegiaoDeAlmasPerdidas
LensmanArmsRace	Br/CorridaArmamentistaDeLensman
LethalEatery	Br/CulinariaLetal
LethalHarmlessPowers	Br/PoderesLetaisInofensivos
LethallyStupid	Br/LetalmenteEstupido
LetsYouAndHimFight	Br/VamosLutarVoceEEle
LetteredSequel	Br/SequenciaComLetras
LevelAte	Br/FaseComestivel
LevelInTheClouds	Br/FaseNasNuvens
LeyLine	Br/LinhaDeEnergia
LightEqualsHope	Br/LuzSignificaEsperanca
LightIsGood	Br/ALuzEBoa
LightIsNotGood	Br/ALuzNaoEBoa
LightNovel	Br/LightNovel
LightNovel	Br/RomanceLeve
LighterAndSofter	Br/MaisAnimadoELeve
LightingTropes	Br/TroposDeIluminacao
LightningBruiser	Br/BrutoRelampago
LikeAGodToMe	Br/ComoUmDeusParaMim
LikeRealityUnlessNoted	Br/TipoARealidadeANaoSerQueNaoSeja
LikeYouWouldReallyDoIt	Br/ComoSeVoceRealmenteFosseFazerIsso
ListOfTransgressions	Br/ListaDeTransgressoes
LitFic	Br/FiccaoLiteraria
LiteralGenie	Br/GenioLiteral
Literature	BrLiteratura
Literature/CatchTwentyTwo	BrLiteratura/Ardil22
Literature/HarryPotterAndTheHalfBloodPrince	BrLiteratura/HarryPotterEOEnigmaDoPrincipe
Literature/NineteenEightyFour	BrLiteratura/MilNovecentosEOitentaEQuatro
Literature/PrideAndPrejudice	BrLiteratura/OrgulhoEPreconceito
Literature/TheCallOfCthulhu	BrLiteratura/OChamadoDeCthulhu
Literature/TheCanterburyTales	BrLiteratura/ContosDaCantuaria
Literature/TheDivineComedy	BrLiteratura/DivinaComedia
Literature/TheFeatherOfFinistTheFalcon	BrLiteratura/FinistOFalcaoDaPenaMagica
Literature/TheFeatherOfFinistTheFalcon	BrLiteratura/OBeloFalcaoFinist
Literature/TheIliad	BrLiteratura/{{Iliada}}
Literature/TheKiteRunner	BrLiteratura/OCacadorDePipas
Literature/TheLordOfTheRings	BrLiteratura/OSenhorDosAneis
Literature/TheSagaOfDarrenShan	BrLiteratura/ASagaDeDarrenShan
Literature/TheTwoTowers	BrLiteratura/AsDuasTorres
LittleOldLadyInvestigates	Br/SenhorinhaInvestigativa
LoadBearingBoss	Br/ChefePortadorDaCarga
LoadBearingHero	Br/HeroiDeSuporteDeCarga
LoadsAndLoadsOfWriters	Br/MuitosEMuitosEscritores
LocalHangout	Br/DistracaoLocal
LocationSong	Br/CancaoDeUmLugar
LockedInTheDungeon	Br/TrancadoNaMasmorra
LocomotiveLevel	Br/FaseDeLocomotiva
LogicalExtreme	Br/ExtremoLogico
LogicalFallacies	Br/FalaciasLogicas
LogicalFallacy	Br/FalaciaLogica
LonelyAtTheTop	Br/SozinhoNoTopo
LongList	Br/ListaLonga
LongRunners	Br/LongaDuracao
LongRunners	Br/SeriesDeLongaDuracao
LookBehindYou	Br/OlheAtrasDeVoce
LookWhatICanDoNow	Br/OlhaOQueEuSeiFazerAgora
LoonWithAHeartOfGold	Br/BirutaComUmCoracaoDeOuro
LoopholeAbuse	Br/AbusoDasBrechas
LooseLips	Br/LinguaSolta
LordBritishPostulate	Br/PostuladoDeLordBritish
LordErrorProne	Br/LordePropensoAErros
LosingYourHead	Br/PerdendoACabeca
LostColony	Br/ColoniaPerdida
LostFoodGrievance	Br/DorPelaComidaPerdida
LostInImitation	Br/PerdidoNaImitacao
LostWorld	Br/MundoPerdido
LoudGulp	Br/EngolindoSeco
LovableAlphaBitch	Br/CadelaAlfaAdoravel
LovableCoward	Br/CovardeAdoravel
LovableLizard	Br/LagartoAdoravel
LovableRogue	Br/RebeldeAdoravel
LovableSexManiac	Br/ManiacoSexualAdoravel
LoveGoddess	Br/DeusaDoAmor
LoveInterests	Br/InteresseAmoroso
LoveItOrHateIt	Br/AmeOOuDeixeO
LoveRedeems	Br/AmorRedime
LoveToHate	Br/AmamOdiar
LoveTriangle	Br/TrianguloAmoroso
LovecraftCountry	Br/LovecraftRural
LovecraftLite	Br/LovecraftLeve
LovedByAll	Br/AmadoPorTodos
LoversLedge	Br/PeitorilDoAmante
LowestCommonDenominator	Br/MinimoDivisorComum
LuddWasRight	Br/LuddEstavaCerto
LudicrousSpeed	Br/VelocidadeAbsurda
LyingCreator	Br/CriadorMentiroso
LysistrataGambit	Br/GambitoDeLisistrata
MST3KMantra	Br/MantraMST3K
MacGuffin	Br/MacGuffin
MacGuffinDeliveryService	Br/ServicoDeEntregaDeMacGuffin
MacGuffinLocation	Br/LugarMacGuffin
MachiavelliWasWrong	Br/MaquiavelEstavaErrado
MadArtist	Br/ArtistaMaluco
MadBomber	Br/BombardeiroMaluco
MadGod	Br/DeusLouco
MadScienceFair	Br/FeiraDeCienciaMaluca
MadScientist	Br/CientistaMaluco
MadScientistLaboratory	Br/LaboratorioDoCientistaMaluco
MadScientistsBeautifulDaughter	Br/ABelaFilhaDoCientistaMaluco
MadeOfGood	Br/FeitoDeBondade
MadeOfIndestructium	Br/FeitoDeIndestructium
MadeOfIron	Br/FeitoDeFerro
MadeOfWin	Br/FeitoDeVitoria
MadonnaArchetype	Br/ArquetipoMadonna
MagazineDecay	Br/DecaimentoDaRevista
MageTower	Br/TorreDoMago
MagiBabble	Br/BlaBlaBlaMagico
MagicStaff	Br/CajadoMagico
MagicalAsian	Br/AsiaticoMagico
MagicalComputer	Br/ComputadorMagico
MagicalGirl	Br/GarotaMagica
MagicalJew	Br/JudeuMagico
MagicalLand	Br/TerraMagica
MagicalLibrary	Br/BibliotecaMagica
MagicalNegro	Br/NegroMagico
MagicalQueer	Br/QueerMagico
MagicalRomani	Br/CiganoMagico
MagicalRomani	Br/RomaniMagico
MagicianDetective	Br/DetetiveMagico
MagneticHero	Br/HeroiMagnetico
MagnificentBastard	Br/CanalhaMagnifico
MainCharacterFinalBoss	Br/PersonagemPrincipalChefeFinal
MajorWorldCities	BrNotasUteis/GrandesCidadesDoMundo
MakeAnExampleOfThem	Br/FazerDelesUmExemplo
MakerOfMonsters	Br/CriadorDeMonstros
MalevolentArchitecture	Br/ArquiteturaMalevolente
MallSanta	Br/PapaiNoelDeShopping
MaltShop	Br/LojaDeMalte
MamaBear	Br/MamaeUrso
MammalMonstersAreMoreHeroic	Br/MonstrosMamiferosSaoMaisHeroicos
ManOfTheCity	Br/HomemDaCidade
Manga	BrManga
ManlyMan	Br/HomemMasculo
MarijuanaIsLSD	Br/MarijuanaEOMesmoQueLSD
MartialArtsStaff	Br/BastaoDeArtesMarciais
MartialPacifist	Br/PacifistaMarcial
MartyrdomCulture	Br/CulturaDoMartirio
Masquerade	Br/{{Mascaramento}}
MasqueradeBall	Br/BaileDeMascaras
MasqueradeParadox	Br/ParadoxoDoMascaramento
MassOhCrap	Br/VishFerrouMassivo
MasterOfAll	Br/MestreDeTudo
MasterOfIllusion	Br/MestreDaIlusao
Matriarchy	Br/{{Matriarcado}}
MauveShirt	Br/CamisaLilas
MayItNeverHappenAgain	Br/QueIssoNuncaAcontecaDeNovo
MeanCharacterNiceActor	Br/PersonagemMauAtorLegal
MeaningfulFuneral	Br/FuneralSignificativo
MeaningfulRename	Br/TrocaDeNomeSignificativa
MeasuringTheMarigolds	Br/MedirAsCalendulas
MeatPuppet	Br/FantocheDeCarne
MechanicalEcosystem	Br/EcossistemaMecanico
MediaWatchdog	Br/VigilanteDaMidia
MedievalEuropeanFantasy	Br/FantasiaMedievalEuropeia
MedievalPrehistory	Br/PreHistoriaMedieval
MedievalStasis	Br/EstaseMedieval
MeetingTheParentsSequel	Br/SequenciaQueApresentaOsPais
MegaCity	Br/MegaCidade
MegaCorp	Br/MegaCorp
MegaDungeon	Br/MegaMasmorra
MellowFellow	Br/SujeitoSuave
MemeticMutation	Br/MutacaoMemetica
MemorialStatue	Br/EstatuaMemorial
MenAreTheExpendableGender	Br/HomensSaoOGeneroDescartavel
MenGetOldWomenGetReplaced	Br/HomensFicamVelhosMulheresFicamDeFora
MenOfSherwood	Br/HomensDeSherwood
MenacingMuseum	Br/MuseuAmeacador
MentalWorld	Br/MundoMental
MentorArchetype	Br/ArquetipoMentor
MentorArchetype	Br/MentorArquetipico
MentorInSourArmor	Br/MentorEmArmaduraAzeda
MentorIndex	Br/IndiceDeMentores
MentorsNewHope	Br/ANovaEsperancaDoMentor
MerchandiseDriven	Br/MovidoAPropaganda
MerchantCity	Br/CidadeMercantil
MercurialBase	Br/BaseMercurial
MessianicArchetype	Br/ArquetipoMessianico
MetaSequel	Br/MetaSequencia
MetalPoorPlanet	Br/PlanetaPobreEmMetais
MetaphoricallyTrue	Br/MetaforicamenteVerdade
MetroSpecificUnderworld	Br/SubmundoEspecificoDeMetropole
MexicanStandoff	Br/ImpasseMexicano
MicroMonarchy	Br/MicroMonarquia
MightMakesRight	Br/LeiDoMaisForte
MightyGlacier	Br/PoderosaGeleira
MightyWhitey	Br/PoderosoBranco
MillionMookMarch	Br/MarchaDeMilCapangas
MillionairePlayboy	Br/PlayboyMilionario
MindRape	Br/EstuproMental
MindScrew	Br/ParafusoMental
MindScrewdriver	Br/ParafusadeiraMental
MiniSeries	Br/{{Minisserie}}
MinorFlawMajorBreakup	Br/PequenasFalhasGrandesRompimentos
MinorityShowGhetto	Br/GuetoDeProgramaParaMinorias
MirrorCharacter	Br/OReflexo
MirrorMoralityMachine	Br/MaquinaDeEspelhoDaMoralidade
MirrorUniverse	Br/UniversoEspelhado
MisaimedRealism	Br/RealismoMalDirecionado
MisplacedRetribution	Br/RetribuicaoMalDirecionada
MisplacedWildlife	Br/VidaSelvagemMalPosicionada
MissingFloor	Br/AndarAusente
MissingStepsPlan	Br/PlanoIncompleto
MissionControl	Br/ControleDaMissao
MissionCreep	Br/ExpansaoDaMissao
MissionPackSequel	Br/SequenciaDePacoteDeMissoes
MistakenForIndex	Br/ConfundidoComOIndice
MistakenForSuperpowered	Br/ConfundidoComSuperHeroi
MisunderstoodLonerWithAHeartOfGold	Br/SolitarioMalCompreendidoComUmCoracaoDeOuro
MobileMaze	Br/LabirintoMovel
ModernStasis	Br/EstaseModerna
MoneyDearBoy	Br/DinheiroMeuCaro
MonsterAdventurers	Br/MonstrosAventureiros
MonsterDelay	Br/MonstroTardio
MonsterFacade	Br/DeMonstroSoTemACara
MonsterMunch	Br/LancheDeMonstro
MonsterOfTheWeek	Br/MonstroDaSemana
MonsterShapedMountain	Br/MontanhaEmFormaDeMonstro
MonsterThreatExpiration	Br/VencimentoDaAmeacaDeMonstro
MonsterTown	Br/CidadeMonstro
MonumentalBattle	Br/BatalhaMonumental
MonumentalView	Br/VistaMonumental
MookDebutCutscene	Br/CinematicaDeIntroducaoDoCapanga
MookMobile	Br/{{Capangamovel}}
Mooks	Br/{{Capangas}}
MoralDisambiguation	Br/DesambiguacaoMoral
MoralEventHorizon	Br/HorizonteMoralDeEventos
MoralGuardians	Br/GuardioesDaMoral
MoralMyopia	Br/MiopiaMoral
MoralPragmatist	Br/PragmaticoMoral
MoralSociopathy	Br/SociopatiaMoral
MoralityChip	Br/ChipDeMoralidade
MoralityGuidedAttack	Br/AtaqueGuiadoPorMoralidade
MoralityPet	Br/MoralDeEstimacao
MoralityPet	Br/MascoteMoral
MorallyAmbiguousDoctorate	Br/DoutoradoMoralmenteAmbiguo
MoreDiverseSequel	Br/SequenciaMaisDiversa
MoreHeroThanThou	Br/SouMaisHeroiQueVoce
MorePopularSpinoff	Br/DerivadoMaisPopular
MoreThanMindControl	Br/MaisQueControleMental
MortonsFork	Br/GarfoDeMorton
MosesArchetype	Br/ArquetipoMoises
MostDefinitelyNotAVillain	Br/CertamenteNaoEUmVilao
MostTropersAreYoungNerds	Br/AMaioriaDosTropoeirosSaoNerdsJovens
MostTropersAreYoungNerds	Br/DemografiaTropoeira
MostWritersAreMale	Br/AMaioriaDosEscritoresSaoHomens
MotivationalLie	Br/MentiraMotivacional
MotiveRant	Br/RetoricaJustificadora
MountaintopHealthcare	Br/ClinicaMontanhesa
MouseWorld	Br/MundoDeRatos
MouthFullOfSmokes	Br/BocaCheiaDeCigarros
MrExposition	Br/SenhorExposicao
MrExposition	Br/SrExposicao
MrFixit	Br/SrConsertaTudo
MrImagination	Br/SrImaginacao
MrViceGuy	Br/SujeitoDefeito
MsFanservice	Br/SrtaFanservice
Muggles	Br/{{Trouxas}}
MultiformBalance	Br/EquilibrioMultiformas
MultinationalTeam	Br/EquipeMultinacional
MultipleGunshotDeath	Br/MortePorTirosMultiplos
MundaneDogmatic	Br/DogmaticoMundano
MundaneObjectAmazement	Br/PerplexoComOObjetoMundano
MundaneUtility	Br/UtilidadeMundana
MurderBySuicide	Br/AssassinatoPorSuicidio
MurderTheHypotenuse	Br/AssassinarAHipotenusa
MuseumOfBoredom	Br/MuseuDoTedio
MuseumOfTheStrangeAndUnusual	Br/MuseuDoEstranhoEIncomum
MuseumOfTropes	Br/MuseuDeTropos
Music/HeroesDavidBowieAlbum	BrMusica/HeroesDeDavidBowie
MusicalEpisode	Br/EpisodioMusical
MustHaveNicotine	Br/PrecisoDeNicotina
MustMakeAmends	Br/DevoMeRedimir
MyDeathIsJustTheBeginning	Br/MinhaMorteESoOComeco
MyFistForgivesYou	Br/MeuPunhoTePerdoa
MyGirlBackHome	Br/MinhaGarotaLaEmCasa
MyGodWhatHaveIDone	Br/MeuDeusOQueFoiQueEuFiz
MyHeroZero	Br/MeuHeroiZero
MyLocal	Br/MeuLocal
MyMasterRightOrWrong	Br/MeuMestreCertoOuErrado
MyWayOrTheHighway	Br/MeuJeitoOuNada
MysteriousAntarctica	Br/AntartidaMisteriosa
MysteriousNote	Br/BilheteMisterioso
MysteryCult	Br/CultoDeMisterio
MysteryWriterDetective	Br/DetetiveEscritorDeMisterio
MysticalHollywood	Br/HollywoodMistica
MysticalPregnancy	Br/GravidezMistica
MythArc	Br/ArcoMitologico
MythologyGag	Br/PiadaMitologica
NPlusOneSequelTitle	Br/TituloDaSequenciaNMaisUm
NailedToTheWagon	Br/PresoNoVagao
NaiveEverygirl	Br/GarotaIngenua
NamedAfterFirstInstallment	Br/RecebeuONomeDaPrimeiraObra
NamesToRunAwayFromReallyFast	Br/NomesParaSeAfastarOMaisRapidoPossivel
NarmCharm	Br/EncantoNarm
NarniaTime	Br/FusoNarnia
NarratingTheObvious	Br/NarrarOObvio
NarrativeFiligree	Br/FiligranaNarrativa
Narrator	Br/{{Narrador}}
NatureHero	Br/HeroiDaNatureza
NatureLover	Br/AmanteDaNatureza
NatureVersusNurture	Br/NaturezaOuCriacao
NaughtyIsGood	Br/TravessoEBom
NaziHunter	Br/CacadorDeNazistas
NecessarilyEvil	Br/NecessariamenteMau
NegativeContinuity	Br/ContinuidadeNegativa
NeighbourhoodFriendlyGangsters	Br/BandidosAmigaveisDaVizinhanca
Neologism	Br/{{Neologismo}}
Nepotism	Br/{{Nepotismo}}
NerdActionHero	Br/NerdHeroiDeAcao
NetworkDecay	Br/DecaimentoDaRede
NeutralEvil	Br/NeutroEMau
NeutralGood	Br/NeutroEBom
NeutralityIndex	Br/IndiceDeNeutralidade
NeutralityIndex	Br/IndiceNeutro
NeverASelfMadeWoman	Br/NuncaUmaMulherEmpreendedora
NeverBeAHero	Br/NuncaSejaUmHeroi
NeverFoundTheBody	Br/NuncaEncontraramOCorpo
NeverGrewUp	Br/NuncaCresceu
NeverHurtAnInnocent	Br/NuncaMachuqueUmInocente
NeverLand	Br/TerraDoNunca
NeverRecycleABuilding	Br/NuncaRecicleUmaConstrucao
NeverTheObviousSuspect	Br/NuncaEOSuspeitoMaisObvio
NeverTrustATrailer	Br/NuncaConfieNoTrailer
NewAgeRetroHippie	Br/RetroHippieDaNovaEra
NewNeighboursAsThePlotDemands	Br/NovosVizinhosConformeATramaExige
NewOldWest	Br/NovoVelhoOeste
NewPowersAsThePlotDemands	Br/NovosPoderesConformeATramaExige
NewRulesAsThePlotDemands	Br/NovasRegrasConformeATramaExige
Newspeak	Br/{{Novilingua}}	1984, George Orwell.
NextSundayAD	Br/DomingoQueVemDC
NiceGuy	Br/CaraLegal
NiceJobBreakingItHero	Br/BomTrabalhoEstragandoTudoHeroi
NiceJobBreakingItHerod	Br/BomTrabalhoEstragandoTudoHerodes
NiceJobFixingItVillain	Br/BomTrabalhoConsertandoTudoVilao
NiceToTheWaiter	Br/GentilComOGarcom
NighInvulnerability	Br/PraticamenteInvulneravel
NightmareFuel	Br/CombustivelParaPesadelo
NightmareFuelStationAttendant	Br/FrentistaDoPostoDeCombustivelParaPesadelo
NightmareRetardant	Br/RetardanteDePesadelo
NightmarishNursery	Br/BercarioDoMal
NinetiesAntiHero	Br/AntiHeroiDosAnos90
NinjaPirateZombieRobot	Br/NinjaPirataZumbiRobo
NoBadassToHisValet	Br/NaoEFodaoParaSeuCriado
NoCommunitiesWereHarmed	Br/NenhumaComunidadeFoiFerida
NoCutsceneInventoryInertia	Br/SemInerciaDeInventarioEmCinematica
NoDelaysForTheWicked	Br/SemAtrasoParaOsPerversos
NoEndorHolocaust	Br/SemHolocaustoEmEndor
NoGoodDeedGoesUnpunished	Br/NenhumaBoaAcaoFicaImpune
NoHeroToHisValet	Br/NaoEHeroiParaSeuCriado
NoHoldsBarredBeatdown	Br/EspancamentoSemRestricoes
NoManOfWomanBorn	Br/NinguemNascidoDeMulher
NoMereWindmill	Br/NaoEUmMeroMoinho
NoMoreHoldingBackSpeech	Br/DiscursoDeChegaDeSeLimitar
