# Glossary in tab-separated format -*- coding: utf-8 -*-
BrotherSisterTeam	Br/TimeDeIrmaoEIrma
BrownNote	Br/NotaMarrom
BruiserWithASoftCenter	Br/BrutoDeCoracaoMole
BrutalBonusLevel	Br/FaseBonusBrutal
BrutalHonesty	Br/HonestidadeBrutal
BubblePipe	Br/CachimboDeBolhas
BuffySpeak	Br/DialetoCoisado
BugWar	Br/GuerraDeInsetos
BuildingOfAdventure	Br/ConstrucaoDaAventura
BuildingTropes	Br/TroposDeConstrucao
BullyHunter	Br/CacadorDeValentoes
BullyingADragon	Br/IncomodarODragao
Bulungi	Br/{{Bulungi}}
BunnyEarsLawyer	Br/AdvogadoComOrelhasDeCoelho
BurnTheWitch	Br/QueimemABruxa
BurningWithAnger	Br/QueimandoDeRaiva
BuryYourGays	Br/EnterreSeusGays
ButNotTooBi	Br/MasNaoMuitoBi
ButNotTooEvil	Br/MasNaoMuitoMau
ButNotTooForeign	Br/MasNaoMuitoEstrangeiro
ButNotTooGay	Br/MasNaoMuitoGay
ButThouMust	Br/MasTuDeves
ButWaitTheresMore	Br/MasEspereTemMais
ButchLesbian	Br/LesbicaMachuda
ButtMonkey	Br/{{Corinho}}
ByronicHero	Br/HeroiByroniano
BystanderSyndrome	Br/SindromeDoObservador
CListFodder	Br/BuchaDeClasseC
CaliforniaUniversity	Br/UniversidadeCalifornia
CallBack	Br/PegouAReferencia
CallForward	Br/ReferenciaFutura
CallToAdventure	Br/ChamadoParaAAventura
CallToAgriculture	Br/ChamadoAAgricultura
CallingTheOldManOut	Br/DarUmSermaoNoVelho
CallingTheYoungManOut	Br/DarUmSermaoNoJovem
CallingYourAttacks	Br/NomearSeusAtaques
CameBackWithAVengeance	Br/VoltouTrazendoVinganca
CampGay	Br/GayCamp
CampbellCountry	Br/CampbellRural
CanadaDoesNotExist	Br/OCanadaNaoExiste
CanonDiscontinuity	Br/DescontinuidadeDeCanone
CanonMarchesOn	Br/AMarchaDoCanone
CantGetAwayWithNothing	Br/NaoDaPraSeSafarDeNada
CantTakeCriticism	Br/NaoAceitaCriticas
CapcomSequelStagnation	Br/EstagnacaoDeSequenciaDaCapcom
CaptainErsatz	Br/CapitaoErsatz
CaptainEthnic	Br/CapitaoEtnico
CaptainGeographic	Br/CapitaoGeografico
CaptainObvious	Br/CapitaoObvio
CaptainObviousReveal	Br/RevelacaoDeCapitaoObvio
CaptainObviousReveal	Br/RevelacaoDeCapitaoObvio
CaptainPatriotic	Br/CapitaoPatriota
CaptainSpaceDefenderOfEarth	Br/CapitaoEspacoDefensorDaTerra
CaptainSuperhero	Br/CapitaoSuperHeroi
CapturedSuperEntity	Br/SuperEntidadeCapturada
CardCarryingVillain	Br/VilaoDeCrachaETudo
CardboardPrison	Br/PrisaoDePapelao
GetOutOfJailFreeCard	Br/CartaDeSaidaLivreDaPrisao
CareBearStare	Br/OlharFixoDosUrsinhosCarinhosos
CaringGardener	Br/JardineiroCuidadoso
CarryABigStick	Br/PortarUmBastaoGrande
CartwrightCurse	Br/MaldicaoDoCartwright
CashCowFranchise	Br/FranquiaDosOvosDeOuro
CassandraGambit	Br/GambitoDeCassandra
CassandraTruth	Br/VerdadeDeCassandra
CassetteFuturism	Br/FuturismoCassete
CastFromExperiencePoints	Br/ConjuradoComPontosDeExperiencia
CastFromHitPoints	Br/ConjuradoComPontosDeVida
CastFromLifespan	Br/ConjuradoComTempoDeVida
CastFullOfCrazy	Br/ElencoRepletoDeMalucos
CastTheExpert	Br/EspecialistaNoElenco
CastleTropes	Br/TroposDeCastelo
CasualKink	Br/FeticheCasual
CasualTimeTravel	Br/ViagemCasualNoTempo
Catchphrase	Br/Bordao
CathedralClimax	Br/TorreDoRelogio	O nome é um redirecionamento para "Clock Tower".
CatsAreSnarkers	Br/GatosSaoSarcasticos
CelebratingTheHeroes	Br/CelebrarOsHerois
CelestialParagonsAndArchangels	Br/ArcanjosEModelosCelestiais
CelibateHero	Br/HeroiCelibatario
CerebusRetcon	Br/RetconDeCerebus
CerebusSyndrome	Br/SindromeDeCerebus
ChainmailBikini	Br/BiquiniDeCotaDeMalha
ChangedMyMindKid	Br/MudeiDeIdeiaGaroto
ChangingOfTheGuard	Br/TrocaDeTurno
ChannelHop	Br/MudancaDeCanal
ChaoticEvil	Br/CaoticoEMau
ChaoticGood	Br/CaoticoEBom
ChaoticNeutral	Br/CaoticoENeutro
ChaoticStupid	Br/CaoticoEEstupido
CharacterAlignment	Br/AlinhamentoDePersonagem
CharacterDerailment	Br/DescarrilamentoDePersonagem
CharacterDerailment	Br/DescarrilhamentoDePersonagem
CharacterDevelopment	Br/DesenvolvimentoDePersonagem
CharacterExaggeration	Br/ExageroDePersonagem
CharacterTitle	Br/PersonagemTitulo
CharacterizationMarchesOn	Br/AMarchaDaCaracterizacao
CharacterizationMarchesOn	Br/MarchaDaCaracterizacao
CharactersDroppingLikeFlies	Br/PersonagensCaindoComoMoscas
ChaseScene	Br/CenaDePerseguicao
ChasteHero	Br/HeroiCasto
CheatedAngle	Br/AnguloTrapaceado
CheekyMouth	Br/BocaNaBochecha
CheerThemUpWithLaughter	Br/AnimaLosComORiso
ChekhovsGag	Br/PiadaDeChekhov
ChemicallyInducedInsanity	Br/InsanidadeQuimicamenteInduzida
ChewToy	Br/BrinquedoDeMorder
ChewingTheScenery	Br/MastigandoOCenario
ChezRestaurant	Br/ChezRestaurant
Chickification	Br/{{Donzelificacao}}
